Seq,MPA_touchi,MPA,Percentage,Area
38190,1,BeringSea,1,0.25
38191,1,BeringSea,0.98633148,0.24658287
38192,1,BeringSea,0.687458099,0.171864525
38193,1,BeringSea,0.801144471,0.200286118
38194,1,BeringSea,0.929243056,0.232310764
38195,1,BeringSea,0.619173404,0.154793351
38196,1,BeringSea,0.164825414,0.041206353
38197,1,BeringSea,0.118029516,0.029507379
38198,1,BeringSea,0.050370424,0.012592606
38199,2,BeringSea,0,0
38200,2,BeringSea,0,0
38887,2,BeringSea,0,0
38888,2,BeringSea,0,0
38889,2,BeringSea,0,0
38890,1,BeringSea,0.198661616,0.049665404
38891,1,BeringSea,0.687434545,0.171858636
38892,1,BeringSea,0.995059642,0.24876491
38893,1,BeringSea,1,0.25
38894,1,BeringSea,1,0.25
38895,1,BeringSea,1,0.25
38896,1,BeringSea,0.520068157,0.130017039
38897,1,BeringSea,0.400129854,0.100032463
38898,1,BeringSea,0.400101335,0.100025334
38899,1,BeringSea,0.40007282,0.100018205
38900,1,BeringSea,0.400044306,0.100011077
38901,1,BeringSea,0.400016721,0.10000418
38902,1,BeringSea,0.40002445,0.100006113
38903,1,BeringSea,0.400028467,0.100007117
38904,1,BeringSea,0.879461974,0.219865494
38905,1,BeringSea,1,0.25
38906,1,BeringSea,1,0.25
38907,1,BeringSea,1,0.25
38908,1,BeringSea,1,0.25
38909,1,BeringSea,1,0.25
38910,1,BeringSea,0.988903318,0.247225829
38911,1,BeringSea,0.583947784,0.145986946
38912,1,BeringSea,0.392778837,0.098194709
38913,1,BeringSea,0.255880214,0.063970054
38914,1,BeringSea,0.034486624,0.008621656
38915,2,BeringSea,0,0
38916,2,BeringSea,0,0
38917,2,BeringSea,0,0
38918,2,BeringSea,0,0
38919,2,BeringSea,0,0
39607,2,BeringSea,0,0
39608,1,BeringSea,0.104425361,0.02610634
39609,1,BeringSea,0.696556545,0.174139136
39610,1,BeringSea,0.997236544,0.249309136
39611,1,BeringSea,1,0.25
39612,1,BeringSea,1,0.25
39613,1,BeringSea,1,0.25
39614,1,BeringSea,1,0.25
39615,1,BeringSea,1,0.25
39616,1,BeringSea,1,0.25
39617,1,BeringSea,1,0.25
39618,1,BeringSea,1,0.25
39619,1,BeringSea,1,0.25
39620,1,BeringSea,1,0.25
39621,1,BeringSea,1,0.25
39622,1,BeringSea,1,0.25
39623,1,BeringSea,1,0.25
39624,1,BeringSea,1,0.25
39625,1,BeringSea,1,0.25
39626,1,BeringSea,1,0.25
39627,1,BeringSea,1,0.25
39628,1,BeringSea,1,0.25
39629,1,BeringSea,0.852398901,0.213099725
39630,1,BeringSea,0.190092602,0.04752315
39631,1,BeringSea,0.096099323,0.024024831
39632,1,BeringSea,0.002427613,0.000606903
39633,1,BeringSea,0.271344792,0.067836198
39634,1,BeringSea,0.09527871,0.023819678
39635,1,BeringSea,0.030000392,0.007500098
39636,2,BeringSea,0,0
40327,2,BeringSea,0,0
40328,1,BeringSea,0.000623729,0.000155932
40329,1,BeringSea,0.298626661,0.074656665
40330,1,BeringSea,0.831324092,0.207831023
40331,1,BeringSea,1,0.25
40332,1,BeringSea,1,0.25
40333,1,BeringSea,1,0.25
40334,1,BeringSea,1,0.25
40335,1,BeringSea,1,0.25
40336,1,BeringSea,1,0.25
40337,1,BeringSea,1,0.25
40338,1,BeringSea,1,0.25
40339,1,BeringSea,1,0.25
40340,1,BeringSea,1,0.25
40341,1,BeringSea,1,0.25
40342,1,BeringSea,1,0.25
40343,1,BeringSea,1,0.25
40344,1,BeringSea,1,0.25
40345,1,BeringSea,1,0.25
40346,1,BeringSea,1,0.25
40347,1,BeringSea,1,0.25
40348,1,BeringSea,0.924240148,0.231060037
40349,1,BeringSea,0.341410196,0.085352549
40350,2,BeringSea,0,0
40351,2,BeringSea,0,0
40352,2,BeringSea,0,0
40353,2,BeringSea,0,0
40354,1,BeringSea,0.044710303,0.011177576
40355,1,BeringSea,0.030602173,0.007650543
40356,2,BeringSea,0,0
41047,2,BeringSea,0,0
41048,2,BeringSea,0,0
41049,2,BeringSea,0,0
41050,1,BeringSea,0.012401061,0.003100265
41051,1,BeringSea,0.388821248,0.097205312
41052,1,BeringSea,0.894814968,0.223703742
41053,1,BeringSea,1,0.25
41054,1,BeringSea,1,0.25
41055,1,BeringSea,1,0.250000001
41056,1,BeringSea,1,0.25
41057,1,BeringSea,1,0.25
41058,1,BeringSea,1,0.25
41059,1,BeringSea,1,0.25
41060,1,BeringSea,1,0.25
41061,1,BeringSea,1,0.25
41062,1,BeringSea,1,0.25
41063,1,BeringSea,1,0.25
41064,1,BeringSea,1,0.250000001
41065,1,BeringSea,1,0.25
41066,1,BeringSea,1,0.25
41067,1,BeringSea,1,0.25
41068,1,BeringSea,0.999979973,0.249994994
41069,1,BeringSea,0.673714222,0.168428556
41070,1,BeringSea,0.264646734,0.066161684
41071,1,BeringSea,0.020208176,0.005052044
41072,2,BeringSea,0,0
41073,2,BeringSea,0,0
41074,2,BeringSea,0,0
41075,2,BeringSea,0,0
41076,2,BeringSea,0,0
41769,2,BeringSea,0,0
41770,2,BeringSea,0,0
41771,2,BeringSea,0,0
41772,1,BeringSea,0.039061659,0.009765415
41773,1,BeringSea,0.199996245,0.049999061
41774,1,BeringSea,0.199996212,0.049999053
41775,1,BeringSea,0.19999618,0.049999045
41776,1,BeringSea,0.199997005,0.049999251
41777,1,BeringSea,0.99950403,0.249876007
41778,1,BeringSea,1,0.25
41779,1,BeringSea,1,0.25
41780,1,BeringSea,1,0.25
41781,1,BeringSea,0.99999042,0.249997605
41782,1,BeringSea,0.909644234,0.227411058
41783,1,BeringSea,0.732616018,0.183154005
41784,1,BeringSea,0.555920374,0.138980094
41785,1,BeringSea,0.481660749,0.120415187
41786,1,BeringSea,0.481739003,0.120434751
41787,1,BeringSea,0.481817125,0.120454281
41788,1,BeringSea,0.481895151,0.120473788
41789,1,BeringSea,0.481973086,0.120493271
41790,1,BeringSea,0.431821003,0.107955251
41791,1,BeringSea,0.115970838,0.028992709
41792,2,BeringSea,0,0
42491,2,BeringSea,0,0
42492,2,BeringSea,0,0
42493,2,BeringSea,0,0
42494,2,BeringSea,0,0
42495,2,BeringSea,0,0
42496,2,BeringSea,0,0
42497,1,BeringSea,0.792817242,0.19820431
42498,1,BeringSea,0.617757072,0.154439268
42499,1,BeringSea,0.440728865,0.110182216
42500,1,BeringSea,0.263700658,0.065925165
42501,1,BeringSea,0.086682027,0.021670507
42502,2,BeringSea,0,0
42503,2,BeringSea,0,0
42504,2,BeringSea,0,0
42505,2,BeringSea,0,0
42506,2,BeringSea,0,0
42507,2,BeringSea,0,0
42508,2,BeringSea,0,0
42509,2,BeringSea,0,0
42510,2,BeringSea,0,0
42511,2,BeringSea,0,0
42512,2,BeringSea,0,0
43216,2,BeringSea,0,0
43217,2,BeringSea,0,0
43218,2,BeringSea,0,0
43219,2,BeringSea,0,0
43220,2,BeringSea,0,0
43221,2,BeringSea,0,0
43222,2,BeringSea,0,0
43229,2,BeringSea,0,0
43230,1,BeringSea,1.18157E-07,2.95393E-08
43231,2,BeringSea,0,0
43949,2,BeringSea,0,0
43950,2,BeringSea,0,0
43951,2,BeringSea,0,0
49245,2,CharlieGibbs,0,0
49246,2,CharlieGibbs,0,0
49247,2,CharlieGibbs,0,0
49248,2,CharlieGibbs,0,0
49249,2,CharlieGibbs,0,0
49250,2,CharlieGibbs,0,0
49251,2,CharlieGibbs,0,0
49252,2,CharlieGibbs,0,0
49253,2,CharlieGibbs,0,0
49254,2,CharlieGibbs,0,0
49255,2,CharlieGibbs,0,0
49256,2,CharlieGibbs,0,0
49257,2,CharlieGibbs,0,0
49258,2,CharlieGibbs,0,0
49965,2,CharlieGibbs,0,0
49966,1,CharlieGibbs,0,0
49967,1,CharlieGibbs,0,0
49968,1,CharlieGibbs,0,0
49969,1,CharlieGibbs,0,0
49970,1,CharlieGibbs,0,0
49971,1,CharlieGibbs,0,0
