"taxon_key","scientific_name","common_name","phylum","sub_phylum","super_class","class","super_order","order","suborder_infraorder","family","genus","species","comments_names","is_retired","taxon_group_id","taxon_level_id","functional_group_id","commercial_group_id","commercial","isscaap_id","cell_id","super_target","fb_spec_code","slb_spec_code","cla_code","ord_code","fam_code","gen_code","spe_code","slb_cla_code","slb_ord_code","slb_fam_code","slb_gen_code","is_use","is_taxa_used","is_mariculture_only","is_baltic_only","sl_max","slbl_max_type","sl_max_2","comments_sl_max","tl","se_tl","comments_tl","lat_north","lat_south","min_depth","max_depth","loo","woo","k","a","b","comments_growth","has_habitat_index","has_map","map_year","vulnerability","resilience","updated_by","date_updated","lineage","true_min_depth","true_max_depth"
601205,"Hyporthodus flavolimbatus","Yellowedge grouper","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Serranidae","Hyporthodus","flavolimbatus","",f,1,6,6,3,1,33,913,3,1205,,6,60,289,6241,1205,,,,,f,t,f,f,94,"",,"",3.82,0.61,"",40,-30,64,275,94.3,17876,0.15,0.02,3.05,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"65.81","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Serranidae.Hyporthodus.Flavolimbatus","",""
600202,"Pristipomoides flavipinnis","Golden eye jobfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Pristipomoides","flavipinnis","",f,1,6,5,3,2,33,550,3,202,,6,60,323,2976,202,,,,,f,f,f,f,50,"",,"",3.6,0.51,"",31,-28,90,360,50,1104,0.31,0.01,2.88,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"33.98","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Pristipomoides.Flavipinnis","",""
600200,"Pristipomoides auricilla","Goldflag jobfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Pristipomoides","auricilla","",f,1,6,5,3,1,33,548,3,200,,6,60,323,2976,200,,,,,f,t,f,f,38,"",32,"",3.86,,"",35,-25,90,360,37.79,580,0.36,0.01,2.95,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"32.81","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Pristipomoides.Auricilla","",""
659654,"Nototheniops nybelini","Rockcod","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Nototheniidae","Nototheniops","nybelini","",f,1,6,10,3,2,33,,3,59654,,6,60,382,5068,59654,,,,,f,f,f,f,16,"",,"",3.3,0.5,"",90,-90,90,400,15.9,43,0.36,0.01,3.19,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"31.62","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Nototheniidae.Nototheniops.Nybelini","",""
604463,"Gerres filamentosus","Whipfin silver-biddy","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Gerreidae","Gerres","filamentosus","",f,,6,1,1,,,,,4463,,6,60,326,2344,4463,,,,,f,f,f,f,,"",,"",,,"",,,1,50,,,0.4,0.012,3.05,"",t,t,,"34.83","High","Deng","2019-11-21","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Gerreidae.Gerres.Filamentosus","",""
601880,"Phycis chesteri","Longfin hake","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Gadiformes","NA","Phycidae","Phycis","chesteri","",f,1,6,14,5,2,32,,3,1880,,6,44,506,9236,1880,,,,,f,f,f,f,72,"NG",,"",3.17,,"",61,24,90,1500,71.75,2181,0.14,0,3.13,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"66.5","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Gadiformes.NA.Phycidae.Phycis.Chesteri","",""
623333,"Odontanthias borbonius","Checked swallowtail","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Serranidae","Odontanthias","borbonius","",f,1,6,1,3,2,33,1804,1,23333,,6,60,289,9176,23333,,,,,f,f,f,f,15,"",,"",3.4,0.45,"",45,-35,0,9999,15,76,0.56,0.02,2.97,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"25.41","High","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Serranidae.Odontanthias.Borbonius","",""
623130,"Gymnothorax elegans","Elegant moray","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Anguilliformes","NA","Muraenidae","Gymnothorax","elegans","",f,1,6,5,12,2,33,1803,3,23130,,6,26,56,3758,23130,,,,,f,f,f,f,53,"",,"",3.98,0.68,"",40,-30,92,450,53.05,207,,0,3.1,"SLmax from Estimates table; SLinf from SLmax of Estimates table; .",t,t,,"48.02","","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Anguilliformes.NA.Muraenidae.Gymnothorax.Elegans","",""
690910,"Plesionika trispinus","Plesionika trispinus","Arthropoda","Crustacea","NA","Malacostraca","NA","Decapoda","NA","Pandalidae","Plesionika","trispinus","",f,2,6,26,10,,45,,6,,20987,901009,910032,900461,912720,920987,1009,10032,461,12720,f,f,f,f,13,"",,"",2.65,0.08,"Mean TL of species in this family; seTL being StDev/Sqrt(N)",15,0,0,1450,,,,,,"Depth ranges taken from species within the family and SLmax computed from average length TL of the 3 species in the Genus Plesionika in SLB. Lat ranges estimated from FAO and countries of species occurrence",t,t,,"","","Deng","2018-10-09","Arthropoda.Crustacea.NA.Malacostraca.NA.Decapoda.NA.Pandalidae.Plesionika.Trispinus","",""
690595,"Loligo forbesii","Veined squid","Mollusca","NA","NA","Cephalopoda","Coleoidea","Teuthida","NA","Loliginidae","Loligo","forbesii","",f,3,6,25,12,1,57,2039,5,,57479,901063,910267,901915,907848,957479,1063,10267,1915,7848,f,t,f,f,90,"ML",,"",4.29,0.82,"",64,-30,0,9999,,,,,,"",t,t,,"","","Deng","2018-10-09","Mollusca.NA.NA.Cephalopoda.Coleoidea.Teuthida.NA.Loliginidae.Loligo.Forbesii","",""
