MPA,MPA_Name,cg_name,time_period,Data_Type,RCP,Model,sector_type_id,total_sum,baseline_sum,delta_mean,sector_name,eez_name,baseline_importance
BeringSea,Bering Sea,Flatfishes,Mid Century,Catch,85,MPA,4,229.70621902300027,208.02609574752495,10.421828664124833,Recreational,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Mid Century,nonuse_value,85,MPA,1,381265906.9748893,357594977.1877872,6.619480500888458,Industrial,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Mid Century,nonuse_value,85,MPA,4,221143936.68134436,205425997.03196114,7.651387787563103,Recreational,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Mid Century,revenue,85,MPA,1,1140064.8729122335,1070429.2677133086,6.505390622183109,Industrial,Alaska,1.2557695587250979
BeringSea,Bering Sea,Flatfishes,Mid Century,revenue,85,MPA,4,460280.10531625414,427559.9856486398,7.652755347995329,Recreational,Alaska,38.23136487385118
BeringSea,Bering Sea,Flatfishes,Today,Abd,85,MPA,1,280537.6403030024,280537.6403030024,0,Industrial,Alaska,12.344938544302066
BeringSea,Bering Sea,Flatfishes,Today,Abd,85,MPA,4,99950.59576870681,99950.59576870681,0,Recreational,Alaska,47.59125136637084
BeringSea,Bering Sea,Flatfishes,Today,Catch,85,MPA,1,826.6054614478346,826.6054614478346,0,Industrial,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Today,Catch,85,MPA,4,208.02609574752495,208.02609574752495,0,Recreational,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Today,nonuse_value,85,MPA,1,357594977.1877872,357594977.1877872,0,Industrial,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Today,nonuse_value,85,MPA,4,205425997.03196114,205425997.03196114,0,Recreational,Alaska,NA
BeringSea,Bering Sea,Flatfishes,Today,revenue,85,MPA,1,1070429.2677133086,1070429.2677133086,0,Industrial,Alaska,1.2557695587250979
BeringSea,Bering Sea,Flatfishes,Today,revenue,85,MPA,4,427559.9856486398,427559.9856486398,0,Recreational,Alaska,38.23136487385118
BeringSea,Bering Sea,Herring-likes,End of Century,Abd,85,MPA,2,86621.83916902704,55729.73895768753,55.43198441104157,Subsistence,Alaska,8.421972692712894
BeringSea,Bering Sea,Herring-likes,End of Century,Catch,85,MPA,2,1360.4345294576674,874.6789470219322,55.53530059110421,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,End of Century,nonuse_value,85,MPA,2,112684311.0006278,71482125.7914678,57.63984318171739,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,End of Century,revenue,85,MPA,2,1769434.3744197092,1121757.0150916958,57.737758767220214,Subsistence,Alaska,5.626535287098285
BeringSea,Bering Sea,Herring-likes,Mid Century,Abd,85,MPA,2,73592.46624783994,55729.73895768753,32.052415145376116,Subsistence,Alaska,8.421972692712894
BeringSea,Bering Sea,Herring-likes,Mid Century,Catch,85,MPA,2,1155.3078248758363,874.6789470219322,32.08364381118086,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,Mid Century,nonuse_value,85,MPA,2,95222223.19610527,71482125.7914678,33.2112358743969,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,Mid Century,revenue,85,MPA,2,1494609.0604633233,1121757.0150916958,33.23821829107521,Subsistence,Alaska,5.626535287098285
BeringSea,Bering Sea,Herring-likes,Today,Abd,85,MPA,2,55729.73895768753,55729.73895768753,0,Subsistence,Alaska,8.421972692712894
BeringSea,Bering Sea,Herring-likes,Today,Catch,85,MPA,2,874.6789470219322,874.6789470219322,0,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,Today,nonuse_value,85,MPA,2,71482125.7914678,71482125.7914678,0,Subsistence,Alaska,NA
BeringSea,Bering Sea,Herring-likes,Today,revenue,85,MPA,2,1121757.0150916958,1121757.0150916958,0,Subsistence,Alaska,5.626535287098285
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Abd,85,MPA,2,862770.7208849308,575252.1830778185,49.98130320319317,Subsistence,Alaska,64.62571706197724
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Abd,85,MPA,3,862749.6987128274,575233.3489790943,49.98255929424257,Artisanal,Alaska,30.572813813083677
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Abd,85,MPA,4,862749.6987128274,575233.3489790943,49.98255929424257,Recreational,Alaska,41.029835465489604
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Catch,85,MPA,2,6089.867733572829,4110.346966438382,48.15945669057965,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Catch,85,MPA,3,6089.595152332912,4110.102684529271,48.161630492946,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,Catch,85,MPA,4,6089.595152332912,4110.102684529271,48.161630492946,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,nonuse_value,85,MPA,2,1251259244.7158692,854885300.3205211,46.36574570257976,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,nonuse_value,85,MPA,3,1251221666.5195832,854853876.499794,46.36673014138045,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,nonuse_value,85,MPA,4,1251221666.5195832,854853876.499794,46.36673014138045,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,revenue,85,MPA,2,8407930.594691595,5715795.507407493,47.099919578913884,Subsistence,Alaska,75.20528260664587
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,revenue,85,MPA,3,8407443.241127478,5715387.879819674,47.1018838601159,Artisanal,Alaska,31.956857746381296
BeringSea,Bering Sea,"Salmon, smelts, etc",End of Century,revenue,85,MPA,4,8407443.241127478,5715387.879819674,47.1018838601159,Recreational,Alaska,20.28999324739154
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Abd,85,MPA,2,672523.6212228909,575252.1830778185,16.909355758483724,Subsistence,Alaska,64.62571706197724
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Abd,85,MPA,3,672505.9755497596,575233.3489790943,16.91011599784707,Artisanal,Alaska,30.572813813083677
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Abd,85,MPA,4,672505.9755497596,575233.3489790943,16.91011599784707,Recreational,Alaska,41.029835465489604
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Catch,85,MPA,2,4834.01568003405,4110.346966438382,17.60602497805015,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Catch,85,MPA,3,4833.786729785808,4110.102684529271,17.60744440718081,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,Catch,85,MPA,4,4833.786729785808,4110.102684529271,17.60744440718081,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,nonuse_value,85,MPA,2,984589987.5222389,854885300.3205211,15.172174226541,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,nonuse_value,85,MPA,3,984562691.3143603,854853876.499794,15.173214789135661,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,nonuse_value,85,MPA,4,984562691.3143603,854853876.499794,15.173214789135661,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,revenue,85,MPA,2,6662937.808420198,5715795.507407493,16.570612083396583,Subsistence,Alaska,75.20528260664587
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,revenue,85,MPA,3,6662583.629433665,5715387.879819674,16.572729087354187,Artisanal,Alaska,31.956857746381296
BeringSea,Bering Sea,"Salmon, smelts, etc",Mid Century,revenue,85,MPA,4,6662583.629433665,5715387.879819674,16.572729087354187,Recreational,Alaska,20.28999324739154
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Abd,85,MPA,2,575252.1830778185,575252.1830778185,0,Subsistence,Alaska,64.62571706197724
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Abd,85,MPA,3,575233.3489790943,575233.3489790943,0,Artisanal,Alaska,30.572813813083677
