taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
600031,Micromesistius poutassou,Blue whiting,14,5,Medium benthopelagics (30 - 89 cm),Cod-likes
600662,Centroscymnus coelolepis,Portuguese dogfish,20,9,Large sharks (>=90 cm),Sharks & rays
614296,Pronotogrammus eos,Bigeye bass,10,3,Small bathydemersals (<30 cm),Perch-likes
690077,Heterocarpus reedi,Chilean nylon shrimp,26,10,Shrimps,Crustaceans
614327,Pterygotrigla picta,Spotted gurnard,11,8,Medium bathydemersals (30 - 89 cm),Scorpionfishes
612996,Polymixia japonica,Silver eye,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
690612,Lithodes aequispinus,Same-spine stone crab,27,10,"Lobsters, crabs",Crustaceans
602536,Pseudotriakis microdon,False catshark,20,9,Large sharks (>=90 cm),Sharks & rays
600512,Anoplopoma fimbria,Sablefish,12,8,Large bathydemersals (>=90 cm),Scorpionfishes
661829,Odontanthias katayamai,Fairy basslet,4,3,Small demersals (<30 cm),Perch-likes
600334,Hoplostethus atlanticus,Orange roughy,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
690215,Haliporoides triarthrus,Knife shrimp,26,10,Shrimps,Crustaceans
690305,Palinurus mauritanicus,Pink spiny lobster,27,10,"Lobsters, crabs",Crustaceans
690335,Pleoticus robustus,Royal red shrimp,26,10,Shrimps,Crustaceans
608483,Lepidorhynchus denticulatus,Thorntooth grenadier,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
600656,Centroscyllium fabricii,Black dogfish,19,9,Small to medium sharks (<90 cm),Sharks & rays
600332,Coryphaenoides rupestris,Roundnose grenadier,9,5,Large bathypelagics (>=90 cm),Cod-likes
610285,Ostichthys kaianus,Kai soldierfish,11,12,Medium bathydemersals (30 - 89 cm),Other fishes & inverts
658002,Plectranthias kamii,Basslet,4,1,Small demersals (<30 cm),Anchovies
606957,Diastobranchus capensis,Basketwork eel,12,12,Large bathydemersals (>=90 cm),Other fishes & inverts
600700,Scymnodon ringens,Knifetooth dogfish,19,9,Small to medium sharks (<90 cm),Sharks & rays
69166781,Chaceon albus,Crystal crab,27,10,"Lobsters, crabs",Crustaceans
600193,Paracaesio stonei,Cocoa snapper,8,3,Medium bathypelagics (30 - 89 cm),Perch-likes
612288,Plagiogeneion rubiginosum,Rubyfish,11,3,Medium bathydemersals (30 - 89 cm),Perch-likes
601057,Hemiramphus balao,Balao halfbeak,1,1,Small pelagics (<30 cm),Anchovies
690249,Metanephrops mozambicus,Mozambique lobster,27,10,"Lobsters, crabs",Crustaceans
604988,Lophius vaillanti,Shortspine African angler,11,12,Medium bathydemersals (30 - 89 cm),Other fishes & inverts
600478,Chaenodraco wilsoni,Spiny icefish,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
607110,Chionodraco myersi,Myers' icefish,11,3,Medium bathydemersals (30 - 89 cm),Perch-likes
610676,Cyttus traversi,King dory,11,12,Medium bathydemersals (30 - 89 cm),Other fishes & inverts
608900,Dipturus nidarosiensis,Norwegian skate,22,9,Large rays (>=90 cm),Sharks & rays
600704,Somniosus rostratus,Little sleeper shark,20,9,Large sharks (>=90 cm),Sharks & rays
400308,Malacanthidae,Tilefishes,5,3,Medium demersals (30 - 89 cm),Perch-likes
6926799,Callinectes arcuatus,arched swimming crab,1,1,Small pelagics (<30 cm),Anchovies
601042,Lepidocybium flavobrunneum,Escolar,9,3,Large bathypelagics (>=90 cm),Perch-likes
607137,Macrourus carinatus,Ridge scaled rattail,14,5,Medium benthopelagics (30 - 89 cm),Cod-likes
609146,Neocyttus rhomboidalis,Spiky oreo,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
600646,Aphanopus carbo,Black scabbardfish,15,3,Large benthopelagics (>=90 cm),Perch-likes
604997,Nezumia aequalis,Common Atlantic grenadier,14,5,Medium benthopelagics (30 - 89 cm),Cod-likes
600687,Etmopterus spinax,Velvet belly,19,9,Small to medium sharks (<90 cm),Sharks & rays
617286,Trachyscorpia cristulata echinata,Spiny scorpionfish,11,8,Medium bathydemersals (30 - 89 cm),Scorpionfishes
600100,Gasterochisma melampus,Butterfly kingfish,3,3,Large pelagics (>=90 cm),Perch-likes
615387,Hemitrygon bennettii,Bennett's stingray,1,1,Small pelagics (<30 cm),Anchovies
600663,Centroscymnus crepidater,Longnose velvet dogfish,20,9,Large sharks (>=90 cm),Sharks & rays
690609,Haliporoides diomedeae,Chilean knife shrimp,26,10,Shrimps,Crustaceans
600817,Bythaelurus canescens,Dusky catshark,19,9,Small to medium sharks (<90 cm),Sharks & rays
690013,Metanephrops andamanicus,Andaman lobster,27,10,"Lobsters, crabs",Crustaceans
604333,Lycodes esmarkii,Greater eelpout,11,3,Medium bathydemersals (30 - 89 cm),Perch-likes
290011,Echinoidea,"Sea urchins, sea hedgehogs",29,12,Other demersal invertebrates,Other fishes & inverts
611704,Sebastolobus macrochir,Broadbanded thornyhead,5,8,Medium demersals (30 - 89 cm),Scorpionfishes
608445,Coelorinchus chilensis,Chilean grenadier,14,5,Medium benthopelagics (30 - 89 cm),Cod-likes
600719,Oxynotus paradoxus,Sailfin roughshark,20,9,Large sharks (>=90 cm),Sharks & rays
600754,Maurolicus muelleri,Silvery lightfish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
606954,Amblyraja taaf,Whiteleg skate,21,9,Small to medium rays (<90 cm),Sharks & rays
606990,Gymnoscopelus nicholsi,Nichol's lanternfish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
603265,Trachipterus arcticus,Dealfish,9,12,Large bathypelagics (>=90 cm),Other fishes & inverts
690403,Aristeus varidens,Striped red shrimp,26,10,Shrimps,Crustaceans
600505,Sebastes mentella,Beaked redfish,8,8,Medium bathypelagics (30 - 89 cm),Scorpionfishes
608540,Aphanopus intermedius,Intermediate scabbardfish,15,3,Large benthopelagics (>=90 cm),Perch-likes
