taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
400339,Kyphosidae,"Sea chubs, knifefishes, niblers",17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
500477,Kyphosus,Sea chubs,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
604032,Hexagrammos decagrammus,Kelp greenling,5,8,Medium demersals (30 - 89 cm),Scorpionfishes
503737,Gnatholepis,Gnatholepid gobies,16,3,Small reef assoc. fish (<30 cm),Perch-likes
601242,Sphoeroides testudineus,Checkered puffer,17,12,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts
614417,Latris lineata,Striped trumpeter,1,1,Small pelagics (<30 cm),Anchovies
601307,Hypoatherina temminckii,Samoan silverside,1,12,Small pelagics (<30 cm),Other fishes & inverts
601907,Carangoides hedlandensis,Bumpnose trevally,4,3,Small demersals (<30 cm),Perch-likes
600958,Bagre bagre,Coco sea catfish,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts
601184,Nebris microps,Smalleye croaker,5,3,Medium demersals (30 - 89 cm),Perch-likes
601369,Zeugopterus punctatus,Topknot,23,7,Small to medium flatfishes (<90 cm),Flatfishes
601187,Paralonchurus brasiliensis,Banded croaker,4,3,Small demersals (<30 cm),Perch-likes
616651,Diaphus luetkeni,Luetken's lanternfish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
615483,Himantura gerrardi,Sharpnose stingray,22,9,Large rays (>=90 cm),Sharks & rays
605526,Acanthopagrus berda,Goldsilk seabream,5,3,Medium demersals (30 - 89 cm),Perch-likes
601889,Alepes djedaba,Shrimp scad,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
600956,Aspistor quadriscutis,Bressou sea catfish,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts
606356,Acanthopagrus latus,Yellowfin seabream,5,3,Medium demersals (30 - 89 cm),Perch-likes
608326,Parapsettus panamensis,Panama spadefish,16,3,Small reef assoc. fish (<30 cm),Perch-likes
