area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1069482,490043,7,702,61,2011,10,36,71,1,1,1,R,2,U,4,1,2,23.15354386928,267761.279403978,4727.34690714796,76.6382302073169,416.76378964704,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Penaeidae,Commercial shrimps and prawns,26,10,Shrimps,Crustaceans,Recreational
1069507,600264,7,200,66,2016,10,36,71,1,1,1,R,1,R,1,1,3,12.8646031746031,1242.70043116045,20389.0219951421,54.0313333333331,1029.16825396825,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lutjanus johnii,John's snapper,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1069535,590083,7,707,62,2012,10,36,71,1,1,1,R,1,R,3,1,3,154.4278,23833.4197023303,6147.88145128014,401.51228,5713.82860000001,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Panulirus,Spiny lobsters,27,10,"Lobsters, crabs",Crustaceans,Artisanal
1069545,600146,7,600,66,2016,10,36,71,3,1,1,R,1,R,1,1,1,0.0110506782311209,10.5865497454138,34.1498604638103,0.0496175452577328,2.26538903737978,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus obesus,Bigeye tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1069592,600226,83,302,60,2010,10,36,71,3,1,2,D,2,U,1,4,1,36.8985302564279,54093.2453559233,125028.513475161,167.150342061618,16567.4400851361,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Xiphias gladius,Swordfish,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1069602,606439,7,300,66,2016,10,36,71,1,1,1,R,1,R,1,1,3,0.0967579857142839,6.89567206443302,88.2443317656712,0.383161623428564,19.0613231857139,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Epinephelus malabaricus,Malabar grouper,18,3,Large reef assoc. fish (>=90 cm),Perch-likes,Industrial
1069608,400359,7,702,60,2010,10,36,71,1,1,1,R,2,U,4,1,2,36.555194151706,113933.166907314,1238.65139148395,92.4846412038161,1827.7597075853,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Mugilidae,"Mullets, grey mullets",17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Recreational
1069707,600143,91,401,64,2014,10,36,71,3,1,2,D,2,U,1,4,1,0.0163853371209891,24.0209042193701,42.1168014350366,0.0722593367035621,3.78501287494849,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus albacares,Yellowfin tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1069821,600217,213,602,60,2010,10,36,71,3,1,1,R,1,R,1,1,1,0.413301875439979,605.90054939501,1306.97528760954,1.85985843947991,186.812447698871,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Istiompax indica,Black marlin,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1069826,600399,7,702,65,2015,10,36,71,1,1,1,R,2,U,4,1,2,5.51471749323138,30.686467327108,1627.5085148483,19.1360697015129,336.397767087114,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Pomadasys argenteus,Silver grunt,5,3,Medium demersals (30 - 89 cm),Perch-likes,Recreational
